Protein	Gene	Cluster	Complex	Detected	Abundance_Change	LiP_Change	FiLiP_Change	high_confidence_FiLiP	Gcn5_target	SAGA_transcript
Q6Q547	NOP10	99	Box H/ACA ribonucleoprotein complex|2|4	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE
Q12463	TRM11	20	MTQ2-TRM112 eRF1 methyltransferase complex|1|2;BUD23-TRM112 methyltransferase complex|1|2;TRM9-TRM112 methyltransferase complex|1|2;TRM11-TRM112 tRNA (m2G10) methyltransferase complex|0|0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P32617	IES6	30	INO80 chromatin remodeling complex|2|15;Swr1 chromatin remodelling complex|1| 6;NuA4 histone acetyltransferase complex|1| 5;NuA3 histone acetyltransferase complex|1| 2;Transcription factor TFIIF complex|1| 1;SWI/SNF chromatin remodelling complex|1| 1;General transcription factor complex TFIID|1| 1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
P35189	TAF14	30	INO80 chromatin remodeling complex|2|15;Swr1 chromatin remodelling complex|1| 6;NuA4 histone acetyltransferase complex|1| 5;NuA3 histone acetyltransferase complex|1| 2;Transcription factor TFIIF complex|1| 1;SWI/SNF chromatin remodelling complex|1| 1;General transcription factor complex TFIID|1| 1	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
P40060	IES5	30	INO80 chromatin remodeling complex|2|15;Swr1 chromatin remodelling complex|1| 6;NuA4 histone acetyltransferase complex|1| 5;NuA3 histone acetyltransferase complex|1| 2;Transcription factor TFIIF complex|1| 1;SWI/SNF chromatin remodelling complex|1| 1;General transcription factor complex TFIID|1| 1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P40154	IES2	30	INO80 chromatin remodeling complex|2|15;Swr1 chromatin remodelling complex|1| 6;NuA4 histone acetyltransferase complex|1| 5;NuA3 histone acetyltransferase complex|1| 2;Transcription factor TFIIF complex|1| 1;SWI/SNF chromatin remodelling complex|1| 1;General transcription factor complex TFIID|1| 1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P43579	IES1	30	INO80 chromatin remodeling complex|2|15;Swr1 chromatin remodelling complex|1| 6;NuA4 histone acetyltransferase complex|1| 5;NuA3 histone acetyltransferase complex|1| 2;Transcription factor TFIIF complex|1| 1;SWI/SNF chromatin remodelling complex|1| 1;General transcription factor complex TFIID|1| 1	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
P53115	INO80	30	INO80 chromatin remodeling complex|2|15;Swr1 chromatin remodelling complex|1| 6;NuA4 histone acetyltransferase complex|1| 5;NuA3 histone acetyltransferase complex|1| 2;Transcription factor TFIIF complex|1| 1;SWI/SNF chromatin remodelling complex|1| 1;General transcription factor complex TFIID|1| 1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P53946	ARP5	30	INO80 chromatin remodeling complex|2|15;Swr1 chromatin remodelling complex|1| 6;NuA4 histone acetyltransferase complex|1| 5;NuA3 histone acetyltransferase complex|1| 2;Transcription factor TFIIF complex|1| 1;SWI/SNF chromatin remodelling complex|1| 1;General transcription factor complex TFIID|1| 1	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
P60010	ACT1	30	INO80 chromatin remodeling complex|2|15;Swr1 chromatin remodelling complex|1| 6;NuA4 histone acetyltransferase complex|1| 5;NuA3 histone acetyltransferase complex|1| 2;Transcription factor TFIIF complex|1| 1;SWI/SNF chromatin remodelling complex|1| 1;General transcription factor complex TFIID|1| 1	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE
P80428	ARP4	30	INO80 chromatin remodeling complex|2|15;Swr1 chromatin remodelling complex|1| 6;NuA4 histone acetyltransferase complex|1| 5;NuA3 histone acetyltransferase complex|1| 2;Transcription factor TFIIF complex|1| 1;SWI/SNF chromatin remodelling complex|1| 1;General transcription factor complex TFIID|1| 1	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE
Q03435	NHP10	30	INO80 chromatin remodeling complex|2|15;Swr1 chromatin remodelling complex|1| 6;NuA4 histone acetyltransferase complex|1| 5;NuA3 histone acetyltransferase complex|1| 2;Transcription factor TFIIF complex|1| 1;SWI/SNF chromatin remodelling complex|1| 1;General transcription factor complex TFIID|1| 1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Q03940	RVB1	30	INO80 chromatin remodeling complex|2|15;Swr1 chromatin remodelling complex|1| 6;NuA4 histone acetyltransferase complex|1| 5;NuA3 histone acetyltransferase complex|1| 2;Transcription factor TFIIF complex|1| 1;SWI/SNF chromatin remodelling complex|1| 1;General transcription factor complex TFIID|1| 1	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
Q08561	IES4	30	INO80 chromatin remodeling complex|2|15;Swr1 chromatin remodelling complex|1| 6;NuA4 histone acetyltransferase complex|1| 5;NuA3 histone acetyltransferase complex|1| 2;Transcription factor TFIIF complex|1| 1;SWI/SNF chromatin remodelling complex|1| 1;General transcription factor complex TFIID|1| 1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Q12345	IES3	30	INO80 chromatin remodeling complex|2|15;Swr1 chromatin remodelling complex|1| 6;NuA4 histone acetyltransferase complex|1| 5;NuA3 histone acetyltransferase complex|1| 2;Transcription factor TFIIF complex|1| 1;SWI/SNF chromatin remodelling complex|1| 1;General transcription factor complex TFIID|1| 1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
Q12386	ARP8	30	INO80 chromatin remodeling complex|2|15;Swr1 chromatin remodelling complex|1| 6;NuA4 histone acetyltransferase complex|1| 5;NuA3 histone acetyltransferase complex|1| 2;Transcription factor TFIIF complex|1| 1;SWI/SNF chromatin remodelling complex|1| 1;General transcription factor complex TFIID|1| 1	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE
Q12464	RVB2	30	INO80 chromatin remodeling complex|2|15;Swr1 chromatin remodelling complex|1| 6;NuA4 histone acetyltransferase complex|1| 5;NuA3 histone acetyltransferase complex|1| 2;Transcription factor TFIIF complex|1| 1;SWI/SNF chromatin remodelling complex|1| 1;General transcription factor complex TFIID|1| 1	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
P36132	KAE1	78	KEOPS complex|1|5	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
P46984	GON7	78	KEOPS complex|1|5	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P53323	BUD32	78	KEOPS complex|1|5	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
Q03705	CGI121	78	KEOPS complex|1|5	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Q3E833	PCC1	78	KEOPS complex|1|5	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE
P36104	SWD2	3	SDS22-GLC7-YPI1 phosphatase complex|1|3;SDS22-GLC7 phosphatase complex|1|2	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P25627	BUD23	20	MTQ2-TRM112 eRF1 methyltransferase complex|1|2;BUD23-TRM112 methyltransferase complex|1|2;TRM9-TRM112 methyltransferase complex|1|2;TRM11-TRM112 tRNA (m2G10) methyltransferase complex|0|0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P49957	TRM9	20	MTQ2-TRM112 eRF1 methyltransferase complex|1|2;BUD23-TRM112 methyltransferase complex|1|2;TRM9-TRM112 methyltransferase complex|1|2;TRM11-TRM112 tRNA (m2G10) methyltransferase complex|0|0	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
P29468	PAP1	3	SDS22-GLC7-YPI1 phosphatase complex|1|3;SDS22-GLC7 phosphatase complex|1|2	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
P32598	GLC7	3	SDS22-GLC7-YPI1 phosphatase complex|1|3;SDS22-GLC7 phosphatase complex|1|2	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE
P35728	MPE1	3	SDS22-GLC7-YPI1 phosphatase complex|1|3;SDS22-GLC7 phosphatase complex|1|2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P39927	PTI1	3	SDS22-GLC7-YPI1 phosphatase complex|1|3;SDS22-GLC7 phosphatase complex|1|2	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE
P42073	REF2	3	SDS22-GLC7-YPI1 phosphatase complex|1|3;SDS22-GLC7 phosphatase complex|1|2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P42841	PFS2	3	SDS22-GLC7-YPI1 phosphatase complex|1|3;SDS22-GLC7 phosphatase complex|1|2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P45976	FIP1	3	SDS22-GLC7-YPI1 phosphatase complex|1|3;SDS22-GLC7 phosphatase complex|1|2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P53538	SSU72	3	SDS22-GLC7-YPI1 phosphatase complex|1|3;SDS22-GLC7 phosphatase complex|1|2	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
Q01329	PTA1	3	SDS22-GLC7-YPI1 phosphatase complex|1|3;SDS22-GLC7 phosphatase complex|1|2	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
Q06102	YTH1	3	SDS22-GLC7-YPI1 phosphatase complex|1|3;SDS22-GLC7 phosphatase complex|1|2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Q06224	YSH1	3	SDS22-GLC7-YPI1 phosphatase complex|1|3;SDS22-GLC7 phosphatase complex|1|2	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Q06632	CFT1	3	SDS22-GLC7-YPI1 phosphatase complex|1|3;SDS22-GLC7 phosphatase complex|1|2	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
Q08553	SYC1	3	SDS22-GLC7-YPI1 phosphatase complex|1|3;SDS22-GLC7 phosphatase complex|1|2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Q12102	CFT2	3	SDS22-GLC7-YPI1 phosphatase complex|1|3;SDS22-GLC7 phosphatase complex|1|2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P02309	HHF1	12	RNA polymerase I upstream activating factor complex|1|6;Nucleosome, variant HTA2-HTB2|1|4;Nucleosome, variant HTA2-HTB1|1|4;Nucleosome, variant HTA1-HTB1|1|4;Nucleosome, variant HTZ1-HTB1|1|4;Nucleosome, variant HTZ1-HTB2|1|4;Nucleosome, variant HTA1-HTB2|1|4	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
P38204	RRN10	12	RNA polymerase I upstream activating factor complex|1|6;Nucleosome, variant HTA2-HTB2|1|4;Nucleosome, variant HTA2-HTB1|1|4;Nucleosome, variant HTA1-HTB1|1|4;Nucleosome, variant HTZ1-HTB1|1|4;Nucleosome, variant HTZ1-HTB2|1|4;Nucleosome, variant HTA1-HTB2|1|4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P53437	RRN9	12	RNA polymerase I upstream activating factor complex|1|6;Nucleosome, variant HTA2-HTB2|1|4;Nucleosome, variant HTA2-HTB1|1|4;Nucleosome, variant HTA1-HTB1|1|4;Nucleosome, variant HTZ1-HTB1|1|4;Nucleosome, variant HTZ1-HTB2|1|4;Nucleosome, variant HTA1-HTB2|1|4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P61830	HHT1	12	RNA polymerase I upstream activating factor complex|1|6;Nucleosome, variant HTA2-HTB2|1|4;Nucleosome, variant HTA2-HTB1|1|4;Nucleosome, variant HTA1-HTB1|1|4;Nucleosome, variant HTZ1-HTB1|1|4;Nucleosome, variant HTZ1-HTB2|1|4;Nucleosome, variant HTA1-HTB2|1|4	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE
Q02983	RRN5	12	RNA polymerase I upstream activating factor complex|1|6;Nucleosome, variant HTA2-HTB2|1|4;Nucleosome, variant HTA2-HTB1|1|4;Nucleosome, variant HTA1-HTB1|1|4;Nucleosome, variant HTZ1-HTB1|1|4;Nucleosome, variant HTZ1-HTB2|1|4;Nucleosome, variant HTA1-HTB2|1|4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Q08747	UAF30	12	RNA polymerase I upstream activating factor complex|1|6;Nucleosome, variant HTA2-HTB2|1|4;Nucleosome, variant HTA2-HTB1|1|4;Nucleosome, variant HTA1-HTB1|1|4;Nucleosome, variant HTZ1-HTB1|1|4;Nucleosome, variant HTZ1-HTB2|1|4;Nucleosome, variant HTA1-HTB2|1|4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P09938	RNR2	65	Ribonucleoside-diphosphate reductase variant 2|2|4;Ribonucleoside-diphosphate reductase variant 1|2|3	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
P21524	RNR1	65	Ribonucleoside-diphosphate reductase variant 2|2|4;Ribonucleoside-diphosphate reductase variant 1|2|3	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
P49723	RNR4	65	Ribonucleoside-diphosphate reductase variant 2|2|4;Ribonucleoside-diphosphate reductase variant 1|2|3	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
P21672	RNR3	65	Ribonucleoside-diphosphate reductase variant 2|2|4;Ribonucleoside-diphosphate reductase variant 1|2|3	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
P13393	SPT15	35	SAGA complex|1|20;SLIK (SAGA-like) complex|0| 0	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
P09547	SWI1	8	RSC complex variant RSC2|2|16;RSC complex variant RSC1|2|16	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P18480	SNF5	8	RSC complex variant RSC2|2|16;RSC complex variant RSC1|2|16	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P18888	SNF6	8	RSC complex variant RSC2|2|16;RSC complex variant RSC1|2|16	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P22082	SNF2	8	RSC complex variant RSC2|2|16;RSC complex variant RSC1|2|16	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE
P32591	SWI3	8	RSC complex variant RSC2|2|16;RSC complex variant RSC1|2|16	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
P38956	SNF11	8	RSC complex variant RSC2|2|16;RSC complex variant RSC1|2|16	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P43554	SWP82	8	RSC complex variant RSC2|2|16;RSC complex variant RSC1|2|16	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P53330	RTT102	8	RSC complex variant RSC2|2|16;RSC complex variant RSC1|2|16	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P53628	SNF12	8	RSC complex variant RSC2|2|16;RSC complex variant RSC1|2|16	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
Q05123	ARP9	8	RSC complex variant RSC2|2|16;RSC complex variant RSC1|2|16	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
Q12406	ARP7	8	RSC complex variant RSC2|2|16;RSC complex variant RSC1|2|16	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
Q08273	HRT1	32	SCF-Ydr131c ubiquitin ligase complex|1|5;SCF-Cdc4 ubiquitin ligase complex|1|5;SCF-Grr1 ubiquitin ligase complex|1|5;SCF-Mdm30 ubiquitin ligase complex|1|5;SCF-Ufo1 ubiquitin ligase complex|1|5;SCF-Das1 ubiquitin ligase complex|1|5;SCF-Met30 ubiquitin ligase complex|1|5;SCF-Dia2 ubiquitin ligase complex|1|5;SCF-Ylr352w ubiquitin ligase complex|1|5;SCF-Saf1 ubiquitin ligase complex|1|5;SCF-Hrt3 ubiquitin ligase complex|1|5;RAVE complex|1|1;CBF3 complex|1|1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Q02647	DYN2	4	Nuclear pore complex|8|32;Cytoplasmic dynein complex|1| 1	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
P06779	RAD7	9	Nucleotide excision repair factor 4 complex|1|3	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P31244	RAD16	9	Nucleotide excision repair factor 4 complex|1|3	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
P53202	CUL3	9	Nucleotide excision repair factor 4 complex|1|3	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Q03071	ELC1	9	Nucleotide excision repair factor 4 complex|1|3	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P16140	VMA2	40	Vacuolar proton translocating ATPase complex, vacuole variant|8|14;Vacuolar proton translocating ATPase complex, Golgi variant|7|14	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
P17255	VMA1	40	Vacuolar proton translocating ATPase complex, vacuole variant|8|14;Vacuolar proton translocating ATPase complex, Golgi variant|7|14	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
P22203	VMA4	40	Vacuolar proton translocating ATPase complex, vacuole variant|8|14;Vacuolar proton translocating ATPase complex, Golgi variant|7|14	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
P23968	VMA16	40	Vacuolar proton translocating ATPase complex, vacuole variant|8|14;Vacuolar proton translocating ATPase complex, Golgi variant|7|14	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
P25515	VMA3	40	Vacuolar proton translocating ATPase complex, vacuole variant|8|14;Vacuolar proton translocating ATPase complex, Golgi variant|7|14	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
P31412	VMA5	40	Vacuolar proton translocating ATPase complex, vacuole variant|8|14;Vacuolar proton translocating ATPase complex, Golgi variant|7|14	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE
P32366	VMA6	40	Vacuolar proton translocating ATPase complex, vacuole variant|8|14;Vacuolar proton translocating ATPase complex, Golgi variant|7|14	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
P32610	VMA8	40	Vacuolar proton translocating ATPase complex, vacuole variant|8|14;Vacuolar proton translocating ATPase complex, Golgi variant|7|14	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
P32842	VMA11	40	Vacuolar proton translocating ATPase complex, vacuole variant|8|14;Vacuolar proton translocating ATPase complex, Golgi variant|7|14	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P37296	STV1	40	Vacuolar proton translocating ATPase complex, vacuole variant|8|14;Vacuolar proton translocating ATPase complex, Golgi variant|7|14	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
P39111	VMA7	40	Vacuolar proton translocating ATPase complex, vacuole variant|8|14;Vacuolar proton translocating ATPase complex, Golgi variant|7|14	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
P41807	VMA13	40	Vacuolar proton translocating ATPase complex, vacuole variant|8|14;Vacuolar proton translocating ATPase complex, Golgi variant|7|14	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
P48836	VMA10	40	Vacuolar proton translocating ATPase complex, vacuole variant|8|14;Vacuolar proton translocating ATPase complex, Golgi variant|7|14	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
Q3E7B6	VMA9	40	Vacuolar proton translocating ATPase complex, vacuole variant|8|14;Vacuolar proton translocating ATPase complex, Golgi variant|7|14	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
P32563	VPH1	40	Vacuolar proton translocating ATPase complex, vacuole variant|8|14;Vacuolar proton translocating ATPase complex, Golgi variant|7|14	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
P07261	GCR1	7	RAP1-GCR1-GCR2 transcription activation complex|1|3;Telosome|1|3;RAP1-GCR1 transcription activation complex|1|2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
P11938	RAP1	7	RAP1-GCR1-GCR2 transcription activation complex|1|3;Telosome|1|3;RAP1-GCR1 transcription activation complex|1|2	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
Q01722	GCR2	7	RAP1-GCR1-GCR2 transcription activation complex|1|3;Telosome|1|3;RAP1-GCR1 transcription activation complex|1|2	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
P36047	SDS22	3	SDS22-GLC7-YPI1 phosphatase complex|1|3;SDS22-GLC7 phosphatase complex|1|2	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
P43587	YPI1	3	SDS22-GLC7-YPI1 phosphatase complex|1|3;SDS22-GLC7 phosphatase complex|1|2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P09624	LPD1	16	Mitochondrial pyruvate dehydrogenase complex|2|5	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
P02829	HSP82	96	HMC complex|6|7;HAP1 transcriptional repressor complex, SSA1 variant|3|4;HAP1 transcriptional repressor complex, SSA2 variant|3|4	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE
P0CE41	HAP1	96	HMC complex|6|7;HAP1 transcriptional repressor complex, SSA1 variant|3|4;HAP1 transcriptional repressor complex, SSA2 variant|3|4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P10591	SSA1	96	HMC complex|6|7;HAP1 transcriptional repressor complex, SSA1 variant|3|4;HAP1 transcriptional repressor complex, SSA2 variant|3|4	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
P10592	SSA2	96	HMC complex|6|7;HAP1 transcriptional repressor complex, SSA1 variant|3|4;HAP1 transcriptional repressor complex, SSA2 variant|3|4	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
P15108	HSC82	96	HMC complex|6|7;HAP1 transcriptional repressor complex, SSA1 variant|3|4;HAP1 transcriptional repressor complex, SSA2 variant|3|4	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE
P25491	YDJ1	96	HMC complex|6|7;HAP1 transcriptional repressor complex, SSA1 variant|3|4;HAP1 transcriptional repressor complex, SSA2 variant|3|4	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
P25567	SRO9	96	HMC complex|6|7;HAP1 transcriptional repressor complex, SSA1 variant|3|4;HAP1 transcriptional repressor complex, SSA2 variant|3|4	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
P16474	KAR2	33	Luminal surveillance complex|1|3	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE
Q05787	HRD3	33	Luminal surveillance complex|1|3	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Q99220	YOS9	33	Luminal surveillance complex|1|3	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Q00416	SEN1	34	Small ribosomal subunit processome, variant 1|6|47;Small ribosomal subunit processome, variant 2|6|47;Small ribosomal subunit processome, variant 3|6|47;Box C/D snoRNP complex|3| 4;U4/U6.U5 tri-snRNP complex|1| 1;U4 snRNP|1| 1;U4/U6 snRNP|1| 1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P32628	RAD23	13	Peptide:N-glycanase-Rad23 complex|1|2;CDC48-CDC23-UFD2 complex|1|2;Nucleotide excision repair factor 2 complex|1|2	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
Q02890	PNG1	13	Peptide:N-glycanase-Rad23 complex|1|2;CDC48-CDC23-UFD2 complex|1|2;Nucleotide excision repair factor 2 complex|1|2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P25694	CDC48	29	Ribosome quality control complex|1|6;CDC48-NPL4-UFD1 AAA ATPase complex|1|3;CDC48-NPL4-VMS1 AAA ATPase complex|1|3;CDC48-CDC23-UFD2 complex|1|1	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE
P54860	UFD2	13	Peptide:N-glycanase-Rad23 complex|1|2;CDC48-CDC23-UFD2 complex|1|2;Nucleotide excision repair factor 2 complex|1|2	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
P15303	SEC23	10	COPII vesicle coat complex|3|4;SEC23-LST1 COPII cargo recruitment complex|1|2	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
P38810	SFB3	10	COPII vesicle coat complex|3|4;SEC23-LST1 COPII cargo recruitment complex|1|2	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE
P14832	CPR1	1	SET3C histone deacetylase complex|1|7	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE
P25357	SNT1	1	SET3C histone deacetylase complex|1|7	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
P36124	SET3	1	SET3C histone deacetylase complex|1|7	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P38262	SIF2	1	SET3C histone deacetylase complex|1|7	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P40480	HOS4	1	SET3C histone deacetylase complex|1|7	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P53096	HOS2	1	SET3C histone deacetylase complex|1|7	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P53685	HST1	1	SET3C histone deacetylase complex|1|7	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
Q12446	LAS17	17	PAN1 actin cytoskeleton-regulatory complex|2|3;SLAC complex|2|2	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
P23594	PPH21	22	Serine/threonine-protein phosphatase PP2A variant 1|1|3;Serine/threonine-protein phosphatase PP2A variant 2|1|3;TAP42-RRD2-PPH21 phosphatase complex|1|2	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
Q12461	RRD2	22	Serine/threonine-protein phosphatase PP2A variant 1|1|3;Serine/threonine-protein phosphatase PP2A variant 2|1|3;TAP42-RRD2-PPH21 phosphatase complex|1|2	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
P23595	PPH22	22	Serine/threonine-protein phosphatase PP2A variant 1|1|3;Serine/threonine-protein phosphatase PP2A variant 2|1|3;TAP42-RRD2-PPH21 phosphatase complex|1|2	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P46676	SUM1	1	SET3C histone deacetylase complex|1|7	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Q12192	RFM1	1	SET3C histone deacetylase complex|1|7	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
P06787	CMD1	2	Spindle pole body central plaque complex|1|4;Myosin class I complex, MYO5 variant|1|2;Myosin class I complex, MYO3 variant|1|2;Myosin class V complex, MYO4 variant|1|1;Myosin class V complex, MYO2 variant|1|1	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE
P32380	SPC110	2	Spindle pole body central plaque complex|1|4;Myosin class I complex, MYO5 variant|1|2;Myosin class I complex, MYO3 variant|1|2;Myosin class V complex, MYO4 variant|1|1;Myosin class V complex, MYO2 variant|1|1	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
P33419	SPC29	2	Spindle pole body central plaque complex|1|4;Myosin class I complex, MYO5 variant|1|2;Myosin class I complex, MYO3 variant|1|2;Myosin class V complex, MYO4 variant|1|1;Myosin class V complex, MYO2 variant|1|1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
