Entry	Protein names	Gene names	Length	Region
Q04458	Fatty aldehyde dehydrogenase HFD1 (EC 1.2.1.3) (EC 1.2.1.64) (Hexadecenal dehydrogenase)	HFD1 YMR110C YM9718.09C	532	
P00815	Histidine biosynthesis trifunctional protein [Includes: Phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19); Phosphoribosyl-ATP pyrophosphohydrolase (EC 3.6.1.31); Histidinol dehydrogenase (HDH) (EC 1.1.1.23)]	HIS4 YCL030C YCL183 YCL30C	799	REGION 1..229;  /note="Phosphoribosyl-AMP cyclohydrolase";  /evidence="ECO:0000250|UniProtKB:O82768"; REGION 230..312;  /note="Phosphoribosyl-ATP pyrophosphohydrolase";  /evidence="ECO:0000250|UniProtKB:O82768"; REGION 313..799;  /note="Histidinol dehydrogenase";  /evidence="ECO:0000250|UniProtKB:P9WNW9"
P41809	Signaling mucin HKR1 (Hansenula MRAKII killer toxin-resistant protein 1)	HKR1 YDR420W	1802	REGION 47..176;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 261..311;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 453..788;  /note="12 X 28 AA tandem repeats of S-[AV]-[P]-V-A-V-S-S-T-Y-T-S-S-P-S-A-P-A-A-I-S-S-T-Y-T-S-S-P"; REGION 961..984;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 1067..1165;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 1534..1559;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P17629	THO complex subunit HPR1 (Hyperrecombination protein 1)	HPR1 YDR138W YD9302.14	752	REGION 648..752;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P06633	Imidazoleglycerol-phosphate dehydratase (IGPD) (EC 4.2.1.19)	HIS3 YOR202W	220	REGION 64..72;  /note="Substrate binding";  /evidence="ECO:0000269|PubMed:29434040, ECO:0007744|PDB:6EZM"; REGION 90..94;  /note="Substrate binding";  /evidence="ECO:0000269|PubMed:29434040, ECO:0007744|PDB:6EZM"; REGION 186..194;  /note="Substrate binding";  /evidence="ECO:0000269|PubMed:29434040, ECO:0007744|PDB:6EZM"; REGION 214..216;  /note="Substrate binding";  /evidence="ECO:0000269|PubMed:29434040, ECO:0007744|PDB:6EZM"
Q12522	Eukaryotic translation initiation factor 6 (eIF-6)	TIF6 CDC95 YPR016C LPZ15C	245	
P09064	Eukaryotic translation initiation factor 2 subunit beta (eIF-2-beta)	SUI3 TIF212 YPL237W	285	REGION 30..69;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P39003	High-affinity hexose transporter HXT6	HXT6 YDR343C D9651.12	570	
P36112	MICOS complex subunit MIC60 (Altered inheritance of mitochondria protein 28) (Formation of crista junctions protein 1) (Found in mitochondrial proteome protein 13) (Mitofilin)	MIC60 AIM28 FCJ1 FMP13 YKR016W	540	
P39692	Sulfite reductase [NADPH] flavoprotein component (EC 1.8.1.2)	MET10 YFR030W	1035	
Q05930	Mitochondrial distribution and morphology protein 30	MDM30 YLR368W	598	
P18409	Mitochondrial distribution and morphology protein 10 (Mitochondrial inheritance component MDM10)	MDM10 YAL010C FUN37	493	
P40260	Ammonium transporter MEP1	MEP1 AMT1 YGR121C G6331	492	REGION 455..492;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q03667	Mitochondrial intermembrane space cysteine motif-containing protein MIX17 (Mitochondrial intermembrane space CX(n)C motif protein of 17 kDa)	MIX17 MIC17 YMR002W YM8270.04	156	REGION 1..50;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 78..110;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P53927	Ribosome biogenesis protein 15 (Nucleolar protein 15)	NOP15 YNL110C N1954	220	REGION 1..82;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P41816	NADPH dehydrogenase 3 (EC 1.6.99.1) (Old yellow enzyme 3)	OYE3 YPL171C P2291	400	
P24004	Peroxisomal ATPase PEX1 (Peroxin-1) (Peroxisomal assembly protein 1) (Peroxisome biogenesis protein PAS1)	PEX1 PAS1 YKL197C	1043	REGION 453..626;  /note="AAA-cassette D1"; REGION 733..926;  /note="AAA-cassette D2"
Q12017	Phosducin-like protein 2 (Viral IAP-associated factor 1 homolog)	PLP2 VIAF1 YOR281C	286	REGION 96..286;  /note="Thioredoxin fold";  /evidence="ECO:0000250"
P25576	Nicotinamide mononucleotide adenylyltransferase (NMN adenylyltransferase) (NMNAT) (EC 2.7.7.1) (NMN-specific adenylyltransferase) (Promoter of filamentation protein 1)	POF1 YCL047C YCL47C	258	
P53252	Sphingolipid long chain base-responsive protein PIL1	PIL1 YGR086C	339	REGION 1..31;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 273..339;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P20052	PHO85 cyclin PHO80 (Aminoglycoside antibiotic sensitivity protein 3) (Phosphate system cyclin PHO80)	PHO80 AGS3 TUP7 VAC5 YOL001W O2505 UNB293	293	REGION 254..293;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P25626	54S ribosomal protein IMG1, mitochondrial (Integrity of mitochondrial genome protein 1) (Mitochondrial large ribosomal subunit protein bL19m) (PetCR46)	IMG1 PETCR46 YCR046C YCR46C	169	
P32351	Sugar utilization regulatory protein IMP2	IMP2' IMP2 YIL154C	346	REGION 1..74;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 91..132;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q08630	Increased recombination centers protein 13	IRC13 YOR235W	104	
Q06554	Uncharacterized ATP-dependent helicase IRC20 (EC 3.6.1.-) (Increased recombination centers protein 20)	IRC20 YLR247C	1556	REGION 145..170;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 810..850;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 1297..1319;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 1508..1534;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P32337	Importin subunit beta-3 (Karyopherin subunit beta-3) (Karyopherin-121) (Protein secretion enhancer 1)	PSE1 KAP121 YMR308C YM9952.10C	1089	
Q99393	ADIPOR-like receptor IZH4 (Implicated in zinc homeostasis protein 4)	IZH4 YOL101C	312	REGION 1..38;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q03419	ADIPOR-like receptor IZH1 (Implicated in zinc homeostasis protein 1)	IZH1 YDR492W	316	
P13902	Protein INO4	INO4 YOL108C HRF151	151	REGION 112..137;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
O13555	Uncharacterized protein JIP3	JIP3 YLR331C	125	
Q08227	Phosphatidylinositol 4,5-bisphosphate 5-phosphatase INP54 (EC 3.1.3.36)	INP54 YOL065C	384	
P43563	CBK1 kinase activator protein MOB2 (MPS1 binder 2) (Maintenance of ploidy protein MOB2)	MOB2 YFL034C-B YFL035C YFL035C-A	287	REGION 1..89;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P36005	Serine/threonine-protein kinase KDX1 (EC 2.7.11.1) (Kinase dead X-talker protein 1) (MPK1-like protein kinase 1)	KDX1 MLP1 YKL161C YKL615	433	
P50090	Kelch repeat-containing protein 2	KEL2 YGR238C G8585	882	REGION 41..60;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 480..516;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q02932	Importin beta-like protein KAP120 (Karyopherin-120)	KAP120 YPL125W	1032	
P35844	Oxysterol-binding protein homolog 4 (Bypass SECl4 recessive protein 3) (KRE11-1 suppressor protein 1) (Protein KES1) (Oxysterol-binding protein-related protein 4) (ORP 4) (OSBP-related protein 4)	KES1 BSR3 OSH4 YPL145C LPI3C P2614	434	REGION 7..29;  /note="ALPS motif";  /evidence="ECO:0000305|PubMed:17220896"; REGION 16..366;  /note="OSBP-related domain (ORD)";  /evidence="ECO:0000305"; REGION 24..29;  /note="Phosphatidylinositol 4-phosphate binding";  /evidence="ECO:0000269|PubMed:22162133, ECO:0007744|PDB:3SPW"; REGION 109..112;  /note="Phosphatidylinositol 4-phosphate binding";  /evidence="ECO:0000269|PubMed:22162133, ECO:0007744|PDB:3SPW"; REGION 143..144;  /note="Phosphatidylinositol 4-phosphate binding";  /evidence="ECO:0000269|PubMed:22162133, ECO:0007744|PDB:3SPW"
Q04066	Kynurenine formamidase (KFA) (KFase) (EC 3.5.1.9) (Arylformamidase) (Biosynthesis of nicotinic acid protein 7) (N-formylkynurenine formamidase) (FKF)	BNA7 YDR428C	261	
P06244	cAMP-dependent protein kinase type 1 (PKA 1) (EC 2.7.11.11) (CDC25-suppressing protein kinase) (PK-25)	TPK1 PKA1 SRA3 YJL164C J0541	397	REGION 1..60;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P50112	Cell wall synthesis protein KNH1	KNH1 YDL049C	268	
P38286	Very-long-chain 3-oxoacyl-CoA reductase (EC 1.1.1.330) (3-ketoacyl-CoA reductase) (3-ketoreductase) (KAR) (Microsomal beta-keto-reductase)	IFA38 YBR159W YBR1209	347	
P36132	tRNA N6-adenosine threonylcarbamoyltransferase (EC 2.3.1.234) (Kinase-associated endopeptidase 1) (N6-L-threonylcarbamoyladenine synthase) (t(6)A synthase) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein KAE1) (tRNA threonylcarbamoyladenosine biosynthesis protein KAE1)	KAE1 YKR038C	386	REGION 162..166;  /note="Substrate binding";  /evidence="ECO:0000255|HAMAP-Rule:MF_03180"
P53583	Protein MPA43	MPA43 YNL249C N0875	542	
P00572	Thymidylate kinase (EC 2.7.4.9) (dTMP kinase)	CDC8 YJR057W J1715	216	
P36775	Lon protease homolog, mitochondrial (EC 3.4.21.53)	PIM1 LON YBL022C YBL0440	1133	REGION 98..176;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 282..358;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 844..889;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q9ZZW7	Cytochrome b mRNA maturase bI3	BI3 Q0115	517	REGION 1..169;  /note="Cytochrome b"; REGION 170..517;  /note="Maturase"
P43594	MICOS complex subunit MIC19 (Altered inheritance of mitochondria protein 13, mitochondrial) (Mitochondrial contact site complex 19 kDa subunit)	MIC19 AIM13 MCS19 YFR011C	170	
P19659	Mediator of RNA polymerase II transcription subunit 15 (Autonomous replication regulatory protein 3) (Basal expression activator protein 1) (Defective silencing suppressor protein 4) (Mediator complex subunit 15) (Transcription regulatory protein GAL11) (Ty insertion suppressor protein 13)	GAL11 ABE1 MED15 RAR3 SDS4 SPT13 YOL051W	1081	REGION 25..49;  /note="Interaction with GCN4";  /evidence="ECO:0000269|PubMed:19940160"; REGION 238..286;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 422..481;  /note="30 X 2 AA approximate tandem repeats of Q-A"; REGION 476..505;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 692..712;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 744..836;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 1026..1055;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q12033	pH-response regulator protein palA/RIM20 (Regulator of IME2 protein 20)	RIM20 YOR275C	661	
Q07418	Peroxisomal membrane protein import receptor PEX19 (Peroxin-19)	PEX19 PAS12 YDL065C D2528	342	REGION 1..68;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 119..141;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 321..342;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P18898	Geranylgeranyl transferase type-1 subunit beta (GGTase-I-beta) (EC 2.5.1.59) (Cell division cycle protein 43) (Geranylgeranyl transferase type I subunit beta) (RAS proteins geranylgeranyltransferase subunit beta) (Type I protein geranyl-geranyltransferase subunit beta) (PGGTase I beta)	CDC43 CAL1 YGL155W G1864	376	REGION 216..218;  /note="Geranylgeranyl diphosphate binding";  /evidence="ECO:0000250|UniProtKB:P53610"; REGION 280..283;  /note="Geranylgeranyl diphosphate binding";  /evidence="ECO:0000250|UniProtKB:P53610"; REGION 289..292;  /note="Geranylgeranyl diphosphate binding";  /evidence="ECO:0000250|UniProtKB:P53610"
Q05788	Purine nucleoside phosphorylase (PNP) (EC 2.4.2.1) (Inosine phosphorylase) (Inosine-guanosine phosphorylase)	PNP1 YLR209C L8167.19	311	REGION 101..103;  /note="Phosphate binding";  /evidence="ECO:0000250|UniProtKB:P55859"
P28004	Pre-mRNA-processing protein 45	PRP45 FUN20 YAL032C	379	REGION 1..22;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 353..379;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P21672	Ribonucleoside-diphosphate reductase large chain 2 (EC 1.17.4.1) (Ribonucleotide reductase DNA damage-inducible regulatory subunit 2) (Ribonucleotide reductase R1 subunit 2) (Ribonucleotide reductase large subunit 2)	RNR3 DIN1 YIL066C	869	REGION 608..611;  /note="GDP binding";  /evidence="ECO:0000250|UniProtKB:P23921"; REGION 793..843;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P53131	Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43 (EC 3.6.4.13) (Helicase JA1)	PRP43 YGL120C	767	REGION 1..74;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q07800	Phosphatase PSR1 (EC 3.1.3.-) (Plasma membrane sodium response protein 1)	PSR1 YLL010C L1341	427	REGION 14..223;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P43610	Uncharacterized ATP-dependent helicase IRC5 (EC 3.6.4.-) (Increased recombination centers protein 5)	IRC5 YFR038W	853	REGION 43..72;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 158..207;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P27705	Regulatory protein MIG1 (Regulatory protein CAT4)	MIG1 CAT4 SSN1 YGL035C	504	REGION 1..36;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 81..178;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 279..383;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 418..453;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 473..504;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P47085	MEMO1 family protein MHO1 (Memo-homolog 1)	MHO1 YJR008W J1431 YJR83.9	338	
P47114	Low affinity K(+) transporter 1	KCH1 YJR054W J1669	497	REGION 420..469;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P43614	Beta-1,6-glucan synthesis-associated protein KEG1 (KRE6-binding ER protein responsible for glucan synthesis protein 1)	KEG1 YFR042W	200	
P32490	MAP kinase kinase MKK1/SSP32 (EC 2.7.12.2)	MKK1 SSP32 YOR231W O5095	508	REGION 1..21;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 35..95;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 130..158;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q06005	Octanoyltransferase, mitochondrial (EC 2.3.1.181) (Lipoate biosynthesis protein) (Lipoate-protein ligase) (Lipoyl ligase) (Lipoyl/octanoyl transferase) (Octanoyl-[acyl-carrier-protein]-protein N-octanoyltransferase)	LIP2 YLR239C L8083.16	328	REGION 162..169;  /note="Substrate binding";  /evidence="ECO:0000250"; REGION 241..243;  /note="Substrate binding";  /evidence="ECO:0000250"; REGION 254..256;  /note="Substrate binding";  /evidence="ECO:0000250"
P32487	Lysine-specific permease	LYP1 YNL268W N0790	611	
P53846	Protein LTO1 (LTO1 family protein YNL260C)	LTO1 YNL260C N0838	162	REGION 17..53;  /note="deca-GX3 motif; required for interaction with YAE1 and the CIA complex";  /evidence="ECO:0000269|PubMed:26182403"
P34166	Mating hormone A-factor 2	MFA2 YNL145W N1204 N1787	38	REGION 1..20;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P40573	Transcriptional activator of sulfur metabolism MET28 (Methionine-requiring protein 28)	MET28 YIR017C	187	REGION 106..136;  /note="Basic motif";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00978"; REGION 137..151;  /note="Leucine-zipper";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00978"
P25046	Mediator of RNA polymerase II transcription subunit 19 (Hypoxic gene repressor protein 3) (Mediator complex subunit 19) (Negative regulator of URS2 protein 3) (SNF1 suppressor protein 7)	ROX3 MED19 NUT3 SSN7 YBL093C YBL0837	220	REGION 171..220;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P32340	Rotenone-insensitive NADH-ubiquinone oxidoreductase, mitochondrial (EC 1.6.5.9) (Internal NADH dehydrogenase) (NADH:ubiquinone reductase (non-electrogenic))	NDI1 YML120C YM7056.06C	513	
P53883	Nucleolar protein 13	NOP13 YNL175C N1665	403	REGION 1..43;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 72..116;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 313..403;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P38205	Multisite-specific tRNA:(cytosine-C(5))-methyltransferase (EC 2.1.1.202) (Multisite-specific tRNA:m5C-methyltransferase) (tRNA (cytosine-5-)-methyltransferase NCL1) (tRNA methyltransferase 4)	NCL1 TRM4 YBL024W YBL0437	684	REGION 1..24;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 173..179;  /note="S-adenosyl-L-methionine binding";  /evidence="ECO:0000255|PROSITE-ProRule:PRU01023"; REGION 650..684;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P47077	Nucleolar protein 9 (Pumilio domain-containing protein NOP9)	NOP9 YJL010C J1357	666	REGION 1..40;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 635..666;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q12514	General negative regulator of transcription subunit 5	NOT5 YPR072W YP9499.27	560	REGION 212..330;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P32473	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial (EC 1.2.4.1) (Pyruvate dehydrogenase complex component E1 beta) (PDHE1-B)	PDB1 YBR221C YBR1511	366	
P46673	Nucleoporin NUP85 (Nuclear pore protein NUP85)	NUP85 RAT9 YJR042W J1624	744	
Q03028	Mitochondrial 2-oxodicarboxylate carrier 1	ODC1 YPL134C LPI11C	310	
P32263	Pyrroline-5-carboxylate reductase (P5C reductase) (P5CR) (EC 1.5.1.2)	PRO3 ORE2 YER023W	286	
Q99380	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit OST4 (Oligosaccharyl transferase subunit OST4) (Oligosaccharyl transferase 4 kDa subunit) (OTase 4 kDa subunit)	OST4 YDL232W	36	
P0CE92	Seripauperin-8	PAU8 YAL068C	120	
Q3E770	Seripauperin-9	PAU9 YBL108C-A	120	
P0CE93	Seripauperin-11	PAU11 YGL261C NRF120	120	
Q04493	Prefoldin subunit 5 (Genes involved in microtubule biogenesis protein 5) (Gim complex subunit 5) (GimC subunit 5)	GIM5 PFD5 YML094W	163	REGION 144..163;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q06644	Probable dolichyl-phosphate-mannose--protein mannosyltransferase 7 (EC 2.4.1.109)	PMT7 YDR307W D9740.4	662	
Q12236	Serine/threonine-protein kinase PKH2 (EC 2.7.11.1) (PKB-activating kinase homolog 2)	PKH2 YOL100W HRC1081	1081	REGION 210..255;  /note="PIF-pocket";  /evidence="ECO:0000250|UniProtKB:O15530"; REGION 494..652;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 805..833;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 970..1017;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q03306	Serine/threonine-protein kinase PKH3 (EC 2.7.11.1) (Pkb-activating kinase homolog 3)	PKH3 YDR466W	898	REGION 435..484;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 675..850;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q12326	Phosphoglycerate mutase 3 (PGAM 3) (EC 5.4.2.11) (BPG-dependent PGAM 3) (MPGM 3) (Phosphoglyceromutase 3)	GPM3 YOL056W O1236	303	REGION 13..20;  /note="Substrate binding";  /evidence="ECO:0000250|UniProtKB:P00950"; REGION 26..27;  /note="Substrate binding";  /evidence="ECO:0000250|UniProtKB:P00950"; REGION 120..123;  /note="Substrate binding";  /evidence="ECO:0000250|UniProtKB:P00950"; REGION 147..148;  /note="Substrate binding";  /evidence="ECO:0000250|UniProtKB:P00950"; REGION 168..198;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 236..237;  /note="Substrate binding";  /evidence="ECO:0000250|UniProtKB:P00950"
P23638	Proteasome subunit alpha type-3 (Macropain subunit Y13) (Multicatalytic endopeptidase complex subunit Y13) (Proteasome component Y13) (Proteinase YSCE subunit 13)	PRE9 PRS5 YGR135W	258	
P01097	ATPase inhibitor, mitochondrial (ATP synthase F1 subunit epsilon)	INH1 YDL181W D1305	85	
Q12500	Late secretory pathway protein AVL9 (APL2 VPS1 synthetic lethal protein 9)	AVL9 YLR114C L2941	764	REGION 490..535;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 550..572;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 587..764;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P38356	Metal homeostatis protein BSD2 (Bypass SOD defects protein 2)	BSD2 YBR290W YBR2037	321	REGION 1..71;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P41697	Bud site selection protein 6 (Actin-interacting protein 3)	BUD6 AIP3 YLR319C L8543.5	788	REGION 140..253;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 298..338;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q06350	Sporulation-specific chitinase 2 (EC 3.2.1.14)	CTS2 YDR371W D9481.7	511	
P38307	Degradation in the endoplasmic reticulum protein 1	DER1 YBR201W YBR1413	211	
P31116	Homoserine dehydrogenase (HDH) (EC 1.1.1.3)	HOM6 YJR139C J2132	359	
P13181	Galactose transporter (Galactose permease)	GAL2 IMP1 YLR081W L9449.6	574	REGION 1..57;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P54005	Protein DIA1 (Digs into agar protein 1)	DIA1 YMR316W YM9924.08	336	
P40487	2-(3-amino-3-carboxypropyl)histidine synthase subunit 1 (EC 2.5.1.108) (Diphthamide biosynthesis protein 1) (Diphtheria toxin resistance protein 1) (S-adenosyl-L-methionine:L-histidine 3-amino-3-carboxypropyltransferase 1)	DPH1 YIL103W	425	REGION 1..29;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P32461	2-(3-amino-3-carboxypropyl)histidine synthase subunit 2 (EC 2.5.1.108) (Diphthamide biosynthesis protein 2) (Diphtheria toxin resistance protein 2) (S-adenosyl-L-methionine:L-histidine 3-amino-3-carboxypropyltransferase 2)	DPH2 YKL191W	534	
P48510	Ubiquitin domain-containing protein DSK2	DSK2 SHE4 YMR276W YM8021.02	373	REGION 221..270;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P25615	DNA polymerase IV (POL IV) (EC 2.7.7.7)	POL4 POLX YCR014C YCR14C	582	REGION 127..161;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 360..369;  /note="Involved in ssDNA binding";  /evidence="ECO:0000250"
P53063	Decapping nuclease RAI1 (ScRai1) (EC 3.6.1.-) (NAD-capped RNA hydrolase RAI1) (DeNADding enzyme RAI1) (EC 3.6.1.-) (RAT1-interacting protein)	RAI1 YGL246C NRE387	387	REGION 273..387;  /note="Interaction with RAT1"
P38229	GLC7-interacting protein 1	GIP1 YBR045C YBR0420	639	REGION 110..143;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 215..264;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 352..396;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P53759	tRNA-dihydrouridine(16/17) synthase [NAD(P)(+)] (EC 1.3.1.88) (tRNA-dihydrouridine synthase 1)	DUS1 YML080W	423	REGION 404..423;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q04082	Phosphatidylinositol N-acetylglucosaminyltransferase subunit GPI19 (GPI-GlcNAc transferase complex subunit GPI19) (GPI-GnT subunit GPI19) (EC 2.4.1.198)	GPI19 YDR437W D9461.23	140	
Q05787	ERAD-associated E3 ubiquitin-protein ligase component HRD3 (HMG-CoA reductase degradation protein 3)	HRD3 YLR207W	833	REGION 805..824;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P32339	Heme-binding protein HMX1	HMX1 YLR205C L8167.18	317	
Q05549	ATP-dependent helicase HRQ1 (EC 3.6.4.12) (Homologous to recQ protein 1)	HRQ1 YDR291W	1077	
Q04437	ATP-dependent DNA helicase II subunit 2 (EC 3.6.4.12) (ATP-dependent DNA helicase II subunit Ku80) (High affinity DNA-binding factor subunit 2) (Yeast Ku80)	YKU80 HDF2 YMR106C YM9718.05C	629	REGION 608..629;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P41939	Isocitrate dehydrogenase [NADP] cytoplasmic (IDH) (EC 1.1.1.42) (IDP) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)	IDP2 YLR174W L9470.12	412	REGION 94..100;  /note="Substrate binding";  /evidence="ECO:0000250"
P38852	Protein LIN1	LIN1 YHR156C	340	REGION 1..86;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q08601	Metacaspase-1 (EC 3.4.22.-) [Cleaved into: Large subunit p20; Small subunit p10]	MCA1 YCA1 YOR197W	432	REGION 1..70;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 29..131;  /note="Prion domain (PrD)"
P18408	Phosphoadenosine phosphosulfate reductase (EC 1.8.4.8) (3'-phosphoadenylylsulfate reductase) (PAPS reductase, thioredoxin dependent) (PAdoPS reductase)	MET16 YPR167C P9325.8	261	
Q99257	mRNA export factor MEX67	MEX67 YPL169C P2520	599	REGION 408..439;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P33441	THO complex subunit MFT1 (Mitochondrial fusion target protein 1)	MFT1 YML062C	392	REGION 258..392;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
