Entry	Gene.names	Protein.names
P0C2J4	TY2A-LR1	Transposon Ty2-LR1 Gag polyprotein (TY2A) (TYA) (Transposon Ty2 protein A) [Cleaved into: Capsid protein (CA); Gag-p4]
Q06146	YLR257W	Uncharacterized protein YLR257W
P35723	YET1	Endoplasmic reticulum transmembrane protein 1
P53185	YGL036W	Uncharacterized protein YGL036W
Q8TGK1	YHR213W-B	Uncharacterized protein YHR213W-B
P25620	YCR022C	Uncharacterized protein YCR022C
P39523	YMR124W	Uncharacterized protein YMR124W
P38765	YHI9	Uncharacterized isomerase YHI9 (EC 5.1.-.-)
Q04214	TY1B-MR1	Transposon Ty1-MR1 Gag-Pol polyprotein (Gag-Pol-p199) (TY1A-TY1B) (Transposon Ty1 TYA-TYB polyprotein) (p190) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Ty1 protease (PR) (EC 3.4.23.-) (Pol-p20) (p23); Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]
Q3E789	YDR169C-A	Uncharacterized protein YDR169C-A
Q3E826	YKL068W-A	Uncharacterized protein YKL068W-A
P0CY02	YLR154C-H	Uncharacterized protein YLR154C-H
Q12243	YOR029W	Uncharacterized protein YOR029W
Q03761	TAF12	Transcription initiation factor TFIID subunit 12 (TAFII-61) (TAFII61) (TAFII-68) (TAFII68) (TBP-associated factor 12) (TBP-associated factor 61 kDa)
P25638	TAH1	TPR repeat-containing protein associated with Hsp90
Q02648	TRM44	tRNA (uracil-O(2)-)-methyltransferase (EC 2.1.1.211) (tRNA(Ser) (uridine(44)-2'-O)-methyltransferase) (tRNA Um(44) 2'-O-methyltransferase)
P53507	TOM7	Mitochondrial import receptor subunit TOM7 (Translocase of outer membrane 7 kDa subunit)
P28274	URA7	CTP synthase 1 (EC 6.3.4.2) (CTP synthetase 1) (UTP--ammonia ligase 1)
Q06708	VAC14	Vacuole morphology and inheritance protein 14 (Swollen vacuole phenotype 2 protein)
Q12339	UTP23	rRNA-processing protein UTP23 (U three protein 23) (U3 small nucleolar RNA-associated protein 23) (U3 snoRNA-associated protein 23)
P47142	VPS25	Vacuolar protein-sorting-associated protein 25 (ESCRT-II complex subunit VPS25)
P53116	YGL149W	Uncharacterized protein YGL149W
P53110	YGL159W	Uncharacterized protein YGL159W
P43562	YFL040W	Probable metabolite transport protein YFL040W
P53139	YGL108C	Uncharacterized protein YGL108C
P43537	YFL067W	Uncharacterized membrane protein YFL067W
P0CX99	YFL068W	UPF0479 membrane protein YFL068W
P40483	YIL108W	Putative zinc metalloproteinase YIL108W (EC 3.4.24.-)
P38087	YMC2	Carrier protein YMC2, mitochondrial
Q3E740	YGL258W-A	Uncharacterized protein YGL258W-A
P43608	YFR035C	Uncharacterized protein YFR035C
P47024	TY4B-J	Transposon Ty4-J Gag-Pol polyprotein (TY4A-TY4B) (Transposon Ty4 TYA-TYB polyprotein) [Includes: Capsid protein (CA); Ty4 protease (PR) (EC 3.4.23.-); Integrase (IN); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4)]
P47078	YJL009W	Uncharacterized protein YJL009W
P40218	YMR147W	Uncharacterized protein YMR147W
Q12027	YDL176W	Uncharacterized protein YDL176W
Q12407	YDL199C	Putative metabolite transport protein YDL199C
P38833	YHR127W	Uncharacterized protein YHR127W
Q12210	YDL009C	Uncharacterized protein YDL009C
Q12445	POM34	Nucleoporin POM34 (Nuclear pore protein POM34) (Pore membrane protein POM34)
P54885	PRO2	Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase) (GSA dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase)
P39104	PIK1	Phosphatidylinositol 4-kinase PIK1 (PI4-kinase) (PtdIns-4-kinase) (EC 2.7.1.67)
P23833	SCO1	Protein SCO1, mitochondrial
P53823	SNO2	Probable pyridoxal 5'-phosphate synthase subunit SNO2 (EC 4.3.3.6) (PDX2 homolog 2) (Pdx2.2) (Pyridoxal 5'-phosphate synthase glutaminase subunit) (EC 3.5.1.2)
P38241	ECM2	Pre-mRNA-splicing factor SLT11 (Extracellular mutant protein 2) (Synthetic lethality with U2 protein 11)
P17123	SPO12	Sporulation-specific protein 12
P38704	STP2	Transcription factor STP2
Q12038	SRO7	Lethal(2) giant larvae protein homolog SRO7 (Polarity protein SRO7) (Sodium protection protein 1) (Suppressor of RHO3 protein 7)
P53873	SWT21	Protein SWT21 (Synthetic With TGS1 protein 21)
P36085	STB6	Protein STB6
P08458	SPS1	Sporulation-specific protein 1 (EC 2.7.11.1)
Q03012	SPP1	COMPASS component SPP1 (Complex proteins associated with SET1 protein SPP1) (Set1C component SPP1) (Suppressor of PRP protein 1)
Q12325	SUL2	Sulfate permease 2 (High-affinity sulfate transporter 2)
P32772	UGX2	Protein UGX2
P38290	UBS1	Ubiquitin-conjugating enzyme suppressor 1
P40547	VID28	Vacuolar import and degradation protein 28 (Glucose-induced degradation protein 5)
P53230	TAM41	Phosphatidate cytidylyltransferase, mitochondrial (EC 2.7.7.41) (CDP-diacylglycerol synthase) (CDP-DAG synthase) (Mitochondrial import protein MMP37) (Mitochondrial matrix protein of 37 kDa) (Mitochondrial translocator assembly and maintenance protein 41)
P53552	THO2	THO complex subunit 2 (Low dye-binding protein 5) (THO complex subunit RLR1) (Zinc-regulated gene 13 protein)
Q08686	TUM1	Thiosulfate sulfurtransferase TUM1 (EC 2.8.1.1) (Thiouridine modification protein 1)
Q06412	TUS1	Rho1 guanine nucleotide exchange factor TUS1 (TOR unique function suppressor protein 1)
Q06078	UTP21	U3 small nucleolar RNA-associated protein 21 (U3 snoRNA-associated protein 21) (U three protein 21)
Q12220	DIP2	U3 small nucleolar RNA-associated protein 12 (U3 snoRNA-associated protein 12) (DOM34-interacting protein 2) (U three protein 12)
P53336	YGR283C	Putative methyltransferase YGR283C (EC 2.1.1.-)
P0CX63	TY2B-F	Transposon Ty2-F Gag-Pol polyprotein (TY2A-TY2B) (Transposon Ty2 TYA-TYB polyprotein) [Cleaved into: Capsid protein (CA); Ty2 protease (PR) (EC 3.4.23.-); Integrase (IN); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4)]
Q06640	YDR306C	F-box protein YDR306C
P38730	YHL041W	Uncharacterized protein YHL041W
P54007	YLR460C	Uncharacterized protein YLR460C
Q03722	YML020W	Uncharacterized protein YML020W
Q03675	YMR007W	Uncharacterized protein YMR007W
Q8TGN5	YIL105W-A	Uncharacterized protein YIL105W-A
P40520	YIL059C	Uncharacterized protein YIL059C
P0CX68	TY1A-LR1	Transposon Ty1-LR1 Gag polyprotein (Gag-p49) (Transposon Ty1 protein A) (TY1A) (TYA) (p58) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Gag-p4]
Q03205	YDR042C	Uncharacterized protein YDR042C
Q3E7B4	YPL038W-A	Uncharacterized protein YPL038W-A
P50111	ZDS1	Protein ZDS1 (Protein NRC1) (RT2GS1)
P40341	YTA12	Mitochondrial respiratory chain complexes assembly protein YTA12 (EC 3.4.24.-) (Tat-binding homolog 12)
P0CX73	TY1A-PL	Transposon Ty1-PL Gag polyprotein (Gag-p49) (Transposon Ty1 protein A) (TY1A) (TYA) (p58) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Gag-p4]
Q12275	YOR093C	Uncharacterized protein YOR093C
P53908	YNL143C	Uncharacterized membrane protein YNL143C
P32600	TOR2	Serine/threonine-protein kinase TOR2 (EC 2.7.1.67) (EC 2.7.11.1) (Dominant rapamycin resistance protein 2) (Phosphatidylinositol 4-kinase TOR2) (PI4-kinase TOR2) (PI4K TOR2) (PtdIns-4-kinase TOR2) (Target of rapamycin kinase 2) (Temperature-sensitive CSG2 suppressor protein 14)
P38254	PBY1	Probable tubulin--tyrosine ligase PBY1 (EC 6.3.2.25) (P-body-associated protein 1)
P00937	TRP3	Multifunctional tryptophan biosynthesis protein [Includes: Anthranilate synthase component 2 (AS) (EC 4.1.3.27) (Anthranilate synthase, glutamine amidotransferase component); Indole-3-glycerol phosphate synthase (EC 4.1.1.48) (PRAI)]
P47161	VPS70	Vacuolar protein sorting-associated protein 70 (EC 3.4.-.-)
Q8TGU5	YBR296C-A	Uncharacterized protein YBR296C-A
P0C268	YBL039W-B	Uncharacterized protein YBL039W-B
O13511	YAL065C	Uncharacterized protein YAL065C
P32618	YEL043W	Uncharacterized protein YEL043W
Q8TGU0	YGL007C-A	Uncharacterized protein YGL007C-A
P39974	YEL073C	Uncharacterized protein YEL073C
P25630	YCR050C	Uncharacterized protein YCR050C
Q8TGS9	YMR001C-A	Uncharacterized protein YMR001C-A
P34245	YKL097C	Uncharacterized protein YKL097C
Q8TGS6	YMR242W-A	Uncharacterized protein YMR242W-A
P38430	YMR262W	Uncharacterized deoxyribonuclease YMR262W (EC 3.1.21.-)
Q07555	YDL129W	Uncharacterized protein YDL129W
Q6Q5F3	YPR053C	Uncharacterized protein YPR053C
Q08912	YOR389W	Uncharacterized protein YOR389W
P0C2I9	TY1B-PR1	Transposon Ty1-PR1 Gag-Pol polyprotein (Gag-Pol-p199) (TY1A-TY1B) (Transposon Ty1 TYA-TYB polyprotein) (p190) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Ty1 protease (PR) (EC 3.4.23.-) (Pol-p20) (p23); Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]
Q02981	YPL109C	ABC1 family protein YPL109C, mitochondrial
Q12414	TY1B-PL	Transposon Ty1-PL Gag-Pol polyprotein (Gag-Pol-p199) (TY1A-TY1B) (Transposon Ty1 TYA-TYB polyprotein) (p190) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Ty1 protease (PR) (EC 3.4.23.-) (Pol-p20) (p23); Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]
Q08993	YPR202W	Putative uncharacterized protein YPR202W
Q3E805	YOR376W-A	Uncharacterized protein YOR376W-A
P01123	YPT1	GTP-binding protein YPT1 (Protein YP2) (Rab GTPase YPT1) (Transport GTPase YPT1)
Q12436	ZRT2	Zinc-regulated transporter 2 (Low-affinity zinc transport protein ZRT2)
P40166	YNL198C	Uncharacterized protein YNL198C, mitochondrial
P34240	ZRT3	Zinc-regulated transporter 3 (Vacuolar membrane zinc transporter)
Q05776	UPS1	Protein UPS1, mitochondrial (Unprocessed MGM1 protein 1)
P32842	VMA11	V-type proton ATPase subunit c' (V-ATPase subunit c') (Proteolipid protein VMA11) (Trifluoperazine resistance protein 3) (V-ATPase 16 kDa proteolipid subunit 2) (Vacuolar proton pump c' subunit)
P43585	VTC2	Vacuolar transporter chaperone 2 (Phosphate metabolism protein 1)
P43582	WWM1	WW domain-containing protein WWM1 (WW domain-containing protein interacting with metacaspase)
Q12416	WHI5	G1-specific transcriptional repressor WHI5
Q03308	VPS16	Vacuolar protein sorting-associated protein 16 (Vacuolar morphogenesis protein 9) (Vacuolar protein-targeting protein 16)
P38357	YBR292C	Uncharacterized protein YBR292C
P34761	WHI3	Protein WHI3
O13527	TY1B-A	Truncated transposon Ty1-A Gag-Pol polyprotein (TY1B) (Transposon Ty1 TYB polyprotein) [Cleaved into: Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]
P0CX57	TY1A-A	Transposon Ty1-A Gag polyprotein (Gag-p49) (Transposon Ty1 protein A) (TY1A) (TYA) (p58) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Gag-p4]
Q3E758	YHL048C-A	Uncharacterized protein YHL048C-A
O13556	YLR462W	Putative uncharacterized protein YLR462W
O13565	YLR358C	Uncharacterized protein YLR358C
Q05899	YLR297W	Uncharacterized vacuolar protein YLR297W
Q06170	YLR326W	Uncharacterized membrane protein YLR326W
P40586	YIR042C	Uncharacterized protein YIR042C
P39983	YEL057C	Uncharacterized protein YEL057C
P40488	YIL102C	Uncharacterized protein YIL102C
P38868	YHR180W	Uncharacterized protein YHR180W
P35736	YKL050C	Uncharacterized protein YKL050C
Q86ZR7	YKL033W-A	Uncharacterized hydrolase YKL033W-A (EC 3.-.-.-)
Q12259	YLR108C	BTB/POZ domain-containing protein YLR108C
Q8TGS4	YMR315W-A	Uncharacterized protein YMR315W-A
P47044	YJL055W	LOG family protein YJL055W
P38721	YHL050C	Uncharacterized protein YHL050C
P47009	YJL144W	Uncharacterized protein YJL144W
Q3E7Z9	YOL038C-A	Uncharacterized protein YOL038C-A
P0CX15	YRF1-7	Y' element ATP-dependent helicase protein 1 copy 7 (EC 3.6.4.12)
P36019	YPT53	GTP-binding protein YPT53
Q3E7A8	YNL162W-A	Uncharacterized protein YNL162W-A
Q12328	TIM22	Mitochondrial import inner membrane translocase subunit TIM22
P41338	ERG10	Acetyl-CoA acetyltransferase (EC 2.3.1.9) (Acetoacetyl-CoA thiolase) (Ergosterol biosynthesis protein 10)
P48561	TRF5	Poly(A) RNA polymerase protein 1 (EC 2.7.7.19) (Topoisomerase 1-related protein TRF5)
P00899	TRP2	Anthranilate synthase component 1 (EC 4.1.3.27) (Anthranilate synthase component I)
P25040	TSR4	20S rRNA accumulation protein 4
Q04511	UFO1	Ubiquitin ligase complex F-box protein UFO1
P40003	VAB2	Biogenesis of lysosome-related organelles complex 1 subunit VAB2 (BLOC-1 subunit VAB2) (VAC8-binding protein 2)
Q06525	URN1	Pre-mRNA-splicing factor URN1 (U2-U5-U6 snRNP, RES complex and NTC-interacting pre-mRNA-splicing factor 1)
P40046	VTC1	Vacuolar transporter chaperone 1 (Negative regulator of CDC42 protein 1) (Phosphate metabolism protein 4)
P38739	WSC4	Cell wall integrity and stress response component 4
P39702	VPS8	Vacuolar protein sorting-associated protein 8 (Vacuolar protein-targeting protein 8)
P40328	YTA6	Probable 26S proteasome subunit YTA6 (Tat-binding homolog 6)
P53254	UTP22	U3 small nucleolar RNA-associated protein 22 (U3 snoRNA-associated protein 22) (U three protein 22)
P32913	VPS17	Vacuolar protein sorting-associated protein 17 (Carboxypeptidase Y-deficient protein 21)
P40343	VPS27	Vacuolar protein sorting-associated protein 27 (Golgi retention defective protein 11)
Q12266	TY1A-BL	Transposon Ty1-BL Gag polyprotein (Gag-p49) (Transposon Ty1 protein A) (TY1A) (TYA) (p58) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Gag-p4]
P38083	YBR063C	Uncharacterized protein YBR063C
P38338	YBR259W	Uncharacterized protein YBR259W
P40052	YER079W	Uncharacterized protein YER079W
P0CX19	YHR214W	Putative GPI-anchored protein YHR214W
P53151	YGL088W	Uncharacterized protein YGL088W
P40523	YIL055C	Uncharacterized protein YIL055C
P40361	YJL070C	Inactive deaminase YJL070C
A0A023PYF4	YER145C-A	Uncharacterized protein YER145C-A
Q03429	MZM1	Mitochondrial zinc maintenance protein 1, mitochondrial (Altered inheritance of mitochondria protein 8) (Found in mitochondrial proteome protein 36)
P25374	NFS1	Cysteine desulfurase, mitochondrial (EC 2.8.1.7) (tRNA-splicing protein SPL1)
P40447	NIT1	Putative nitrilase-like protein NIT1
Q08214	NTG2	Endonuclease III homolog 2 (EC 3.2.2.-) (EC 4.2.99.18) (Bifunctional DNA N-glycosylase/DNA-(apurinic or apyrimidinic site) lyase 2) (DNA glycosylase/AP lyase 2) (Endonuclease III-like glycosylase 2) (Redoxyendonuclease 2)
P50946	OCA1	Putative tyrosine-protein phosphatase OCA1 (EC 3.1.3.48) (Oxidant-induced cell-cycle arrest protein 1)
P53203	PEX31	Peroxisomal membrane protein PEX31 (Peroxin-31)
P36093	PHD1	Putative transcription factor PHD1
P21372	PRP5	Pre-mRNA-processing ATP-dependent RNA helicase PRP5 (EC 3.6.4.13)
P47045	TIM54	Mitochondrial import inner membrane translocase subunit TIM54
Q12004	TFB4	General transcription and DNA repair factor IIH subunit TFB4 (TFIIH subunit TFB4) (RNA polymerase II transcription factor B 34 kDa subunit) (RNA polymerase II transcription factor B p34 subunit) (RNA polymerase II transcription factor B subunit 4)
Q12415	TFC7	Transcription factor tau 55 kDa subunit (TFIIIC 55 kDa subunit) (Transcription factor C subunit 7)
Q05934	VID22	Vacuolar import and degradation protein 22
Q04235	TRM12	tRNA wybutosine-synthesizing protein 2 (tRNA-yW-synthesizing protein 2) (EC 2.5.1.114) (tRNA(Phe) (4-demethylwyosine(37)-C(7)) aminocarboxypropyltransferase)
P29340	PEX4	Ubiquitin-conjugating enzyme E2-21 kDa (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme PEX4) (Peroxin-4) (Ubiquitin carrier protein) (Ubiquitin-protein ligase)
P04840	POR1	Mitochondrial outer membrane protein porin 1 (Voltage-dependent anion-selective channel protein 1) (VDAC-1)
P35194	UTP20	U3 small nucleolar RNA-associated protein 20 (U3 snoRNA-associated protein 20) (U three protein 20)
P38735	VMR1	ABC transporter ATP-binding protein/permease VMR1 (Vacuolar multidrug resistance protein 1)
Q02725	VTC3	Vacuolar transporter chaperone 3 (Phosphate metabolism protein 2)
P53832	WSC2	Cell wall integrity and stress response component 2
P30822	CRM1	Exportin-1 (Chromosome region maintenance protein 1) (Karyopherin-124)
P38932	VPS45	Vacuolar protein sorting-associated protein 45
P23643	VPS3	Vacuolar protein sorting-associated protein 3 (Vacuolar protein-targeting protein 17)
P38277	YBR138C	Uncharacterized protein YBR138C
Q8TGU6	YBR182C-A	Uncharacterized protein YBR182C-A
P34215	YBR144C	Uncharacterized protein YBR144C
P34220	YBL055C	Deoxyribonuclease Tat-D (EC 3.1.21.-)
P0CX18	YAR066W	Putative GPI-anchored protein YAR066W
P53964	YNL033W	Uncharacterized membrane protein YNL033W
P29055	SUA7	Transcription initiation factor IIB (General transcription factor TFIIB) (Transcription factor E)
P13393	SPT15	TATA-box-binding protein (TATA sequence-binding protein) (TBP) (TATA-binding factor) (TATA-box factor) (Transcription factor D) (Transcription initiation factor TFIID TBP subunit)
P40045	TDA2	Topoisomerase I damage affected protein 2
Q12272	TPT1	tRNA 2'-phosphotransferase (EC 2.7.1.160)
P53916	TEP1	Probable phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase TEP1 (EC 3.1.3.67)
Q03496	TRM732	tRNA (cytidine(32)-2'-O)-methyltransferase non-catalytic subunit TRM732
P35169	TOR1	Serine/threonine-protein kinase TOR1 (EC 2.7.11.1) (Dominant rapamycin resistance protein 1) (Phosphatidylinositol kinase homolog TOR1) (Target of rapamycin kinase 1)
Q03774	TRM82	tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit TRM82 (Transfer RNA methyltransferase 82)
P35180	TOM20	Mitochondrial import receptor subunit TOM20 (Mitochondrial 20 kDa outer membrane protein) (Protein MAS20) (Translocase of outer membrane 20 kDa subunit)
P40462	TMA108	Protein TMA108 (EC 3.4.11.-) (108 kDa translation machinery-associated protein)
P38342	TSC10	3-ketodihydrosphingosine reductase TSC10 (EC 1.1.1.102) (3-dehydrosphinganine reductase) (KDS reductase) (Temperature-sensitive CSG2 suppressor protein 10)
P53177	TYW3	tRNA wybutosine-synthesizing protein 3 (tRNA-yW-synthesizing protein 3) (EC 2.1.1.282) (tRNA(Phe) 7-((3-amino-3-carboxypropyl)-4-demethylwyosine(37)-N(4))-methyltransferase)
P39711	YAL064W	Putative uncharacterized protein YAL064W
P0CE99	YLR157W-D	Putative uncharacterized protein YLR157W-D
P53071	YGL235W	Uncharacterized protein YGL235W
Q12485	TY1A-GR2	Transposon Ty1-GR2 Gag polyprotein (Gag-p49) (Transposon Ty1 protein A) (TY1A) (TYA) (p58) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Gag-p4]
P53210	YGR017W	Uncharacterized protein YGR017W
Q05451	YHR050W-A	Putative uncharacterized protein YHR050W-A
Q04210	YET2	Endoplasmic reticulum transmembrane protein 2
Q3E742	YLR412C-A	Uncharacterized protein YLR412C-A
Q3E786	YGR240C-A	Uncharacterized protein YGR240C-A
P40455	YIL152W	Uncharacterized protein YIL152W
Q3E765	YKL183C-A	Uncharacterized protein YKL183C-A
P40544	YKE4	Zinc transporter YKE4
Q99208	YLL066C	Y' element ATP-dependent helicase YLL066C (EC 3.6.4.12)
Q12424	YDL206W	Putative cation exchanger YDL206W
Q12426	YDR010C	Uncharacterized protein YDR010C
P36111	YKR015C	Uncharacterized protein YKR015C
Q2V2P1	YLR146W-A	Coiled-coil domain-containing protein YLR146W-A
P38716	YHR112C	Uncharacterized trans-sulfuration enzyme YHR112C
P42947	YJL107C	Uncharacterized UPF0442 protein YJL107C
P38780	YHR054C	Uncharacterized protein YHR054C
P38319	TDP1	Tyrosyl-DNA phosphodiesterase 1 (Tyr-DNA phosphodiesterase 1) (EC 3.1.4.-)
Q04311	VMS1	Protein VMS1 (VCP/CDC48-associated mitochondrial stress-responsive protein 1)
P40438	VTH1	VPS10 homolog 1 (Sortilin VTH1)
Q12363	WTM1	Transcriptional modulator WTM1
Q03631	WAR1	Weak acid resistance protein 1
Q02767	VPS28	Vacuolar protein sorting-associated protein 28 (ESCRT-I complex subunit VPS28)
P38253	YBR090C	Uncharacterized protein YBR090C
P39959	YER130C	Zinc finger protein YER130C
P10356	YER152C	Uncharacterized protein YER152C
P53132	YGL118C	Uncharacterized protein YGL118C
P53217	YGR026W	Uncharacterized membrane protein YGR026W
P0C1Z1	YDR524W-C	Uncharacterized protein YDR524W-C
Q3E732	YLR264C-A	Putative uncharacterized protein YLR264C-A
Q06188	YLR455W	PWWP domain-containing protein YLR455W
Q06137	YLR345W	Putative 6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase YLR345W [Includes: 6-phosphofructo-2-kinase (EC 2.7.1.105); Fructose-2,6-bisphosphatase (EC 3.1.3.46)]
P53039	YIP1	Protein transport protein YIP1 (YPT-interacting protein 1)
Q3E743	YJR112W-A	Uncharacterized protein YJR112W-A
Q03208	YML119W	Uncharacterized protein YML119W
Q3E7Z4	YIL046W-A	Uncharacterized protein YIL046W-A
Q3E766	YMR175W-A	Uncharacterized protein YMR175W-A
Q05016	YMR226C	NADP-dependent 3-hydroxy acid dehydrogenase (L-allo-threonine dehydrogenase) (EC 1.1.1.381)
Q03899	YDR131C	F-box protein YDR131C
Q03263	YMR279C	Uncharacterized transporter YMR279C
Q03648	YMR209C	Uncharacterized protein YMR209C
Q3E7A2	YER078W-A	Uncharacterized protein YER078W-A
Q04597	YDR114C	Uncharacterized protein YDR114C
Q02203	YKR005C	Uncharacterized protein YKR005C
P0C5M8	YER090C-A	Uncharacterized protein YER090C-A
Q8TGS0	YOR161C-C	Uncharacterized protein YOR161C-C
Q08234	YOL075C	Uncharacterized ABC transporter ATP-binding protein/permease YOL075C
P38146	YPT10	GTP-binding protein YPT10
Q06325	YPS7	Aspartic proteinase yapsin-7 (EC 3.4.23.-)
Q04436	YMR103C	Uncharacterized protein YMR103C
P53874	UBP10	Ubiquitin carboxyl-terminal hydrolase 10 (EC 3.4.19.12) (Deubiquitinating enzyme 10) (Disrupter of telomere silencing protein 4) (Ubiquitin thioesterase 10) (Ubiquitin-specific-processing protease 10)
P25037	UBP1	Ubiquitin carboxyl-terminal hydrolase 1 (EC 3.4.19.12) (Deubiquitinating enzyme 1) (Ubiquitin thioesterase 1) (Ubiquitin-specific-processing protease 1)
P22203	VMA4	V-type proton ATPase subunit E (V-ATPase subunit E) (V-ATPase 27 kDa subunit) (Vacuolar proton pump subunit E)
P53058	VEL1	Protein VEL1 (Velum formation protein 1)
P53285	VPS62	Vacuolar protein sorting-associated protein 62
P25577	YCL049C	Uncharacterized protein YCL049C
P40022	YER034W	Uncharacterized protein YER034W
P53074	YGL230C	Uncharacterized protein YGL230C
P38746	YLF2	Obg-like ATPase homolog (OLA1 homolog)
Q06251	YLR177W	Uncharacterized protein YLR177W
Q3E817	YFL041W-A	Uncharacterized protein YFL041W-A
Q07950	YEH2	Sterol esterase 2 (EC 3.1.1.13) (Steryl ester hydrolase 2)
Q04897	YMR320W	Uncharacterized protein YMR320W
P40355	YJR061W	Uncharacterized protein YJR061W
P47115	YJR056C	Uncharacterized protein YJR056C
Q03629	YML079W	Uncharacterized protein YML079W
Q08956	YIG1	Protein YIG1
Q04706	TY1A-ML1	Transposon Ty1-ML1 Gag polyprotein (Gag-p49) (Transposon Ty1 protein A) (TY1A) (TYA) (p58) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Gag-p4]
I2HB70	YMR316C-A	Uncharacterized protein YMR316C-A
P47152	YJR115W	Uncharacterized protein YJR115W
Q04893	YMR317W	Uncharacterized protein YMR317W
Q3E814	YLL006W-A	Uncharacterized protein YLL006W-A
P47159	YJR124C	Uncharacterized membrane protein YJR124C
Q07379	YDL057W	Putative uncharacterized protein YDL057W
Q12528	YLR111W	Uncharacterized protein YLR111W
P25650	YCR085W	Uncharacterized protein YCR085W
P38763	YHR022C	Uncharacterized protein YHR022C
Q07629	YDL218W	Uncharacterized membrane protein YDL218W
P40055	UTP7	U3 small nucleolar RNA-associated protein 7 (U3 snoRNA-associated protein 7) (U three protein 7)
P39102	XDJ1	DnaJ protein homolog XDJ1
P32319	PEP1	Vacuolar protein sorting/targeting protein VPS10 (Carboxypeptidase Y receptor) (CPY receptor) (Carboxypeptidase Y-deficient protein 1) (Sortilin VPS10) (Vacuolar carboxypeptidase sorting receptor VPS10) (Vacuolar protein sorting-associated protein 10) (Vacuolar protein-targeting protein 1)
P38306	YBR197C	Uncharacterized protein YBR197C
Q3E791	YAL063C-A	Uncharacterized protein YAL063C-A
P0CY01	YLL067W-A	UPF0479 membrane protein YLL067W-A
Q3E815	YHR175W-A	Uncharacterized membrane protein YHR175W-A
Q8TGU1	YGL188C-A	Uncharacterized protein YGL188C-A
P43591	YFH7	ATP-dependent kinase YFH7 (EC 2.7.1.-) (Altered inheritance of mitochondria protein 12)
P53242	YGR066C	Uncharacterized protein YGR066C
P39971	YEL076C	Uncharacterized protein YEL076C
O13544	YLR302C	Uncharacterized protein YLR302C
P32843	YME2	Mitochondrial escape protein 2 (Protein RNA12)
P0C5N1	YGL014C-A	Uncharacterized protein YGL014C-A
Q3E7B5	YMR230W-A	Uncharacterized protein YMR230W-A
Q04215	TY1A-MR1	Transposon Ty1-MR1 Gag polyprotein (Gag-p49) (Transposon Ty1 protein A) (TY1A) (TYA) (p58) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Gag-p4]
P47174	YJR146W	Uncharacterized protein YJR146W
P25607	YCR101C	Uncharacterized protein YCR101C
P36114	YKR018C	IML2-like protein YKR018C
Q07530	YDL114W	Uncharacterized oxidoreductase YDL114W (EC 1.-.-.-)
Q07895	YLR001C	FAS1 domain-containing protein YLR001C
Q12082	YDL157C	Uncharacterized protein YDL157C, mitochondrial
P0CY04	YLR157C-C	Uncharacterized protein YLR157C-C
Q99344	UBA3	NEDD8-activating enzyme E1 catalytic subunit (EC 6.2.1.64) (RUB1-activating enzyme E1) (Ubiquitin-activating enzyme E1 3) (Ubiquitin-like protein-activating enzyme)
P0CF16	YML003W	UPF0507 protein YML003W
P38349	UBX7	UBX domain-containing protein 7
P40463	VHS2	Protein VHS2 (Viable in a HAL3 SIT4 background protein 2)
P53853	VPS75	Vacuolar protein sorting-associated protein 75
Q3E794	YBR072C-A	Uncharacterized protein YBR072C-A
