Protein	Gene	Cluster	Complex	Detected_WT	Detected_M	Abundance_Change_WT	Abundance_Change_M	LiP_Change_WT	LiP_Change_M	FiLiP_Change_WT	FiLiP_Change_M	high_confidence_FiLiP_WT	high_confidence_FiLiP_M	Gcn5_target	SAGA_transcript
P80967	TOM5	188	TOM40 mitochondrial outer membrane translocase holocomplex|2|7;TOM40 mitochondrial outer membrane translocase core complex|1|5	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
P07213	TOM70	188	TOM40 mitochondrial outer membrane translocase holocomplex|2|7;TOM40 mitochondrial outer membrane translocase core complex|1|5	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
P35180	TOM20	188	TOM40 mitochondrial outer membrane translocase holocomplex|2|7;TOM40 mitochondrial outer membrane translocase core complex|1|5	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P06244	TPK1	182	cAMP-dependent protein kinase complex variant 4|1|3;cAMP-dependent protein kinase complex variant 5|1|3;cAMP-dependent protein kinase complex variant 6|1|3;cAMP-dependent protein kinase complex variant 1|1|2;cAMP-dependent protein kinase complex variant 2|1|2;cAMP-dependent protein kinase complex variant 3|1|2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P07278	BCY1	182	cAMP-dependent protein kinase complex variant 4|1|3;cAMP-dependent protein kinase complex variant 5|1|3;cAMP-dependent protein kinase complex variant 6|1|3;cAMP-dependent protein kinase complex variant 1|1|2;cAMP-dependent protein kinase complex variant 2|1|2;cAMP-dependent protein kinase complex variant 3|1|2	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
P06245	TPK2	182	cAMP-dependent protein kinase complex variant 4|1|3;cAMP-dependent protein kinase complex variant 5|1|3;cAMP-dependent protein kinase complex variant 6|1|3;cAMP-dependent protein kinase complex variant 1|1|2;cAMP-dependent protein kinase complex variant 2|1|2;cAMP-dependent protein kinase complex variant 3|1|2	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P00127	QCR6	97	Mitochondrial respiratory chain complex III|2|10	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P00128	QCR7	97	Mitochondrial respiratory chain complex III|2|10	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P00163	COB	97	Mitochondrial respiratory chain complex III|2|10	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P07143	CYT1	97	Mitochondrial respiratory chain complex III|2|10	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P07256	COR1	97	Mitochondrial respiratory chain complex III|2|10	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
P07257	QCR2	97	Mitochondrial respiratory chain complex III|2|10	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
P08067	RIP1	97	Mitochondrial respiratory chain complex III|2|10	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P08525	QCR8	97	Mitochondrial respiratory chain complex III|2|10	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
P22289	QCR9	97	Mitochondrial respiratory chain complex III|2|10	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P37299	QCR10	97	Mitochondrial respiratory chain complex III|2|10	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P05986	TPK3	182	cAMP-dependent protein kinase complex variant 4|1|3;cAMP-dependent protein kinase complex variant 5|1|3;cAMP-dependent protein kinase complex variant 6|1|3;cAMP-dependent protein kinase complex variant 1|1|2;cAMP-dependent protein kinase complex variant 2|1|2;cAMP-dependent protein kinase complex variant 3|1|2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
P31688	TPS2	80	Trehalose-6-phosphate synthase/phosphatase variant 2|1|3	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
P38426	TPS3	80	Trehalose-6-phosphate synthase/phosphatase variant 2|1|3	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Q00764	TPS1	80	Trehalose-6-phosphate synthase/phosphatase variant 2|1|3	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
P38427	TSL1	80	Trehalose-6-phosphate synthase/phosphatase variant 2|1|3	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE
P32381	ARP2	306	Arp2/3 complex|2|7	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P33204	ARC19	306	Arp2/3 complex|2|7	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P38328	ARC40	306	Arp2/3 complex|2|7	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P40518	ARC15	306	Arp2/3 complex|2|7	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
P47117	ARP3	306	Arp2/3 complex|2|7	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE
P53731	ARC35	306	Arp2/3 complex|2|7	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Q05933	ARC18	306	Arp2/3 complex|2|7	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P32494	NGG1	4	SAGA complex|1|20;SLIK (SAGA-like) complex|0| 0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Q02336	ADA2	4	SAGA complex|1|20;SLIK (SAGA-like) complex|0| 0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Q03330	GCN5	4	SAGA complex|1|20;SLIK (SAGA-like) complex|0| 0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Q12433	AHC1	4	SAGA complex|1|20;SLIK (SAGA-like) complex|0| 0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P06844	SPT3	4	SAGA complex|1|20;SLIK (SAGA-like) complex|0| 0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P25554	SGF29	4	SAGA complex|1|20;SLIK (SAGA-like) complex|0| 0	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
P32657	CHD1	4	SAGA complex|1|20;SLIK (SAGA-like) complex|0| 0	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE
P35177	SPT7	4	SAGA complex|1|20;SLIK (SAGA-like) complex|0| 0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P38129	TAF5	4	SAGA complex|1|20;SLIK (SAGA-like) complex|0| 0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P38811	TRA1	4	SAGA complex|1|20;SLIK (SAGA-like) complex|0| 0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P38915	SPT8	4	SAGA complex|1|20;SLIK (SAGA-like) complex|0| 0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P50102	UBP8	4	SAGA complex|1|20;SLIK (SAGA-like) complex|0| 0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
P50875	SPT20	4	SAGA complex|1|20;SLIK (SAGA-like) complex|0| 0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
P53040	TAF6	4	SAGA complex|1|20;SLIK (SAGA-like) complex|0| 0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P53165	SGF73	4	SAGA complex|1|20;SLIK (SAGA-like) complex|0| 0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
Q03067	SGF11	4	SAGA complex|1|20;SLIK (SAGA-like) complex|0| 0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
Q03761	TAF12	4	SAGA complex|1|20;SLIK (SAGA-like) complex|0| 0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Q05027	TAF9	4	SAGA complex|1|20;SLIK (SAGA-like) complex|0| 0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Q12030	TAF10	4	SAGA complex|1|20;SLIK (SAGA-like) complex|0| 0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Q12060	HFI1	4	SAGA complex|1|20;SLIK (SAGA-like) complex|0| 0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Q6WNK7	SUS1	4	SAGA complex|1|20;SLIK (SAGA-like) complex|0| 0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P32608	RTG2	4	SAGA complex|1|20;SLIK (SAGA-like) complex|0| 0	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P15646	NOP1	22	Small ribosomal subunit processome, variant 1|8|47;Small ribosomal subunit processome, variant 2|8|47;Small ribosomal subunit processome, variant 3|8|47;Box C/D snoRNP complex|3| 4;U4/U6.U5 tri-snRNP complex|1| 1;U4 snRNP|1| 1;U4/U6 snRNP|1| 1	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Q12460	NOP56	22	Small ribosomal subunit processome, variant 1|8|47;Small ribosomal subunit processome, variant 2|8|47;Small ribosomal subunit processome, variant 3|8|47;Box C/D snoRNP complex|3| 4;U4/U6.U5 tri-snRNP complex|1| 1;U4 snRNP|1| 1;U4/U6 snRNP|1| 1	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
Q12499	NOP58	22	Small ribosomal subunit processome, variant 1|8|47;Small ribosomal subunit processome, variant 2|8|47;Small ribosomal subunit processome, variant 3|8|47;Box C/D snoRNP complex|3| 4;U4/U6.U5 tri-snRNP complex|1| 1;U4 snRNP|1| 1;U4/U6 snRNP|1| 1	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
P28007	GAR1	187	Box H/ACA ribonucleoprotein complex|1|4	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P32495	NHP2	187	Box H/ACA ribonucleoprotein complex|1|4	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
P33322	CBF5	187	Box H/ACA ribonucleoprotein complex|1|4	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
Q6Q547	NOP10	187	Box H/ACA ribonucleoprotein complex|1|4	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
Q12463	TRM11	50	MTQ2-TRM112 eRF1 methyltransferase complex|1|2;BUD23-TRM112 methyltransferase complex|1|2;TRM9-TRM112 methyltransferase complex|1|2;TRM11-TRM112 tRNA (m2G10) methyltransferase complex|0|0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P32617	IES6	18	INO80 chromatin remodeling complex|2|15;NuA4 histone acetyltransferase complex|1|15;Swr1 chromatin remodelling complex|1|14;NuA3 histone acetyltransferase complex|1| 5;Transcription factor TFIIF complex|1| 3;SWI/SNF chromatin remodelling complex|1| 1;General transcription factor complex TFIID|1| 1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
P35189	TAF14	18	INO80 chromatin remodeling complex|2|15;NuA4 histone acetyltransferase complex|1|15;Swr1 chromatin remodelling complex|1|14;NuA3 histone acetyltransferase complex|1| 5;Transcription factor TFIIF complex|1| 3;SWI/SNF chromatin remodelling complex|1| 1;General transcription factor complex TFIID|1| 1	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
P40060	IES5	18	INO80 chromatin remodeling complex|2|15;NuA4 histone acetyltransferase complex|1|15;Swr1 chromatin remodelling complex|1|14;NuA3 histone acetyltransferase complex|1| 5;Transcription factor TFIIF complex|1| 3;SWI/SNF chromatin remodelling complex|1| 1;General transcription factor complex TFIID|1| 1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P40154	IES2	18	INO80 chromatin remodeling complex|2|15;NuA4 histone acetyltransferase complex|1|15;Swr1 chromatin remodelling complex|1|14;NuA3 histone acetyltransferase complex|1| 5;Transcription factor TFIIF complex|1| 3;SWI/SNF chromatin remodelling complex|1| 1;General transcription factor complex TFIID|1| 1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P43579	IES1	18	INO80 chromatin remodeling complex|2|15;NuA4 histone acetyltransferase complex|1|15;Swr1 chromatin remodelling complex|1|14;NuA3 histone acetyltransferase complex|1| 5;Transcription factor TFIIF complex|1| 3;SWI/SNF chromatin remodelling complex|1| 1;General transcription factor complex TFIID|1| 1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P53115	INO80	18	INO80 chromatin remodeling complex|2|15;NuA4 histone acetyltransferase complex|1|15;Swr1 chromatin remodelling complex|1|14;NuA3 histone acetyltransferase complex|1| 5;Transcription factor TFIIF complex|1| 3;SWI/SNF chromatin remodelling complex|1| 1;General transcription factor complex TFIID|1| 1	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P53946	ARP5	18	INO80 chromatin remodeling complex|2|15;NuA4 histone acetyltransferase complex|1|15;Swr1 chromatin remodelling complex|1|14;NuA3 histone acetyltransferase complex|1| 5;Transcription factor TFIIF complex|1| 3;SWI/SNF chromatin remodelling complex|1| 1;General transcription factor complex TFIID|1| 1	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P60010	ACT1	18	INO80 chromatin remodeling complex|2|15;NuA4 histone acetyltransferase complex|1|15;Swr1 chromatin remodelling complex|1|14;NuA3 histone acetyltransferase complex|1| 5;Transcription factor TFIIF complex|1| 3;SWI/SNF chromatin remodelling complex|1| 1;General transcription factor complex TFIID|1| 1	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
P80428	ARP4	18	INO80 chromatin remodeling complex|2|15;NuA4 histone acetyltransferase complex|1|15;Swr1 chromatin remodelling complex|1|14;NuA3 histone acetyltransferase complex|1| 5;Transcription factor TFIIF complex|1| 3;SWI/SNF chromatin remodelling complex|1| 1;General transcription factor complex TFIID|1| 1	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
Q03435	NHP10	18	INO80 chromatin remodeling complex|2|15;NuA4 histone acetyltransferase complex|1|15;Swr1 chromatin remodelling complex|1|14;NuA3 histone acetyltransferase complex|1| 5;Transcription factor TFIIF complex|1| 3;SWI/SNF chromatin remodelling complex|1| 1;General transcription factor complex TFIID|1| 1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Q03940	RVB1	18	INO80 chromatin remodeling complex|2|15;NuA4 histone acetyltransferase complex|1|15;Swr1 chromatin remodelling complex|1|14;NuA3 histone acetyltransferase complex|1| 5;Transcription factor TFIIF complex|1| 3;SWI/SNF chromatin remodelling complex|1| 1;General transcription factor complex TFIID|1| 1	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Q08561	IES4	18	INO80 chromatin remodeling complex|2|15;NuA4 histone acetyltransferase complex|1|15;Swr1 chromatin remodelling complex|1|14;NuA3 histone acetyltransferase complex|1| 5;Transcription factor TFIIF complex|1| 3;SWI/SNF chromatin remodelling complex|1| 1;General transcription factor complex TFIID|1| 1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Q12345	IES3	18	INO80 chromatin remodeling complex|2|15;NuA4 histone acetyltransferase complex|1|15;Swr1 chromatin remodelling complex|1|14;NuA3 histone acetyltransferase complex|1| 5;Transcription factor TFIIF complex|1| 3;SWI/SNF chromatin remodelling complex|1| 1;General transcription factor complex TFIID|1| 1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
Q12386	ARP8	18	INO80 chromatin remodeling complex|2|15;NuA4 histone acetyltransferase complex|1|15;Swr1 chromatin remodelling complex|1|14;NuA3 histone acetyltransferase complex|1| 5;Transcription factor TFIIF complex|1| 3;SWI/SNF chromatin remodelling complex|1| 1;General transcription factor complex TFIID|1| 1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
Q12464	RVB2	18	INO80 chromatin remodeling complex|2|15;NuA4 histone acetyltransferase complex|1|15;Swr1 chromatin remodelling complex|1|14;NuA3 histone acetyltransferase complex|1| 5;Transcription factor TFIIF complex|1| 3;SWI/SNF chromatin remodelling complex|1| 1;General transcription factor complex TFIID|1| 1	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P36104	SWD2	16	SDS22-GLC7-YPI1 phosphatase complex|1|3;SDS22-GLC7 phosphatase complex|1|2	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P25627	BUD23	50	MTQ2-TRM112 eRF1 methyltransferase complex|1|2;BUD23-TRM112 methyltransferase complex|1|2;TRM9-TRM112 methyltransferase complex|1|2;TRM11-TRM112 tRNA (m2G10) methyltransferase complex|0|0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P49957	TRM9	50	MTQ2-TRM112 eRF1 methyltransferase complex|1|2;BUD23-TRM112 methyltransferase complex|1|2;TRM9-TRM112 methyltransferase complex|1|2;TRM11-TRM112 tRNA (m2G10) methyltransferase complex|0|0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P29468	PAP1	16	SDS22-GLC7-YPI1 phosphatase complex|1|3;SDS22-GLC7 phosphatase complex|1|2	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P32598	GLC7	16	SDS22-GLC7-YPI1 phosphatase complex|1|3;SDS22-GLC7 phosphatase complex|1|2	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
P35728	MPE1	16	SDS22-GLC7-YPI1 phosphatase complex|1|3;SDS22-GLC7 phosphatase complex|1|2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P39927	PTI1	16	SDS22-GLC7-YPI1 phosphatase complex|1|3;SDS22-GLC7 phosphatase complex|1|2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
P42073	REF2	16	SDS22-GLC7-YPI1 phosphatase complex|1|3;SDS22-GLC7 phosphatase complex|1|2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P42841	PFS2	16	SDS22-GLC7-YPI1 phosphatase complex|1|3;SDS22-GLC7 phosphatase complex|1|2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P45976	FIP1	16	SDS22-GLC7-YPI1 phosphatase complex|1|3;SDS22-GLC7 phosphatase complex|1|2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P53538	SSU72	16	SDS22-GLC7-YPI1 phosphatase complex|1|3;SDS22-GLC7 phosphatase complex|1|2	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Q01329	PTA1	16	SDS22-GLC7-YPI1 phosphatase complex|1|3;SDS22-GLC7 phosphatase complex|1|2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Q06102	YTH1	16	SDS22-GLC7-YPI1 phosphatase complex|1|3;SDS22-GLC7 phosphatase complex|1|2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Q06224	YSH1	16	SDS22-GLC7-YPI1 phosphatase complex|1|3;SDS22-GLC7 phosphatase complex|1|2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Q06632	CFT1	16	SDS22-GLC7-YPI1 phosphatase complex|1|3;SDS22-GLC7 phosphatase complex|1|2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Q08553	SYC1	16	SDS22-GLC7-YPI1 phosphatase complex|1|3;SDS22-GLC7 phosphatase complex|1|2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Q12102	CFT2	16	SDS22-GLC7-YPI1 phosphatase complex|1|3;SDS22-GLC7 phosphatase complex|1|2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P02309	HHF1	38	RNA polymerase I upstream activating factor complex|1|6;Nucleosome, variant HTA2-HTB2|1|4;Nucleosome, variant HTA2-HTB1|1|4;Nucleosome, variant HTA1-HTB1|1|4;Nucleosome, variant HTZ1-HTB1|1|4;Nucleosome, variant HTZ1-HTB2|1|4;Nucleosome, variant HTA1-HTB2|1|4	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
P38204	RRN10	38	RNA polymerase I upstream activating factor complex|1|6;Nucleosome, variant HTA2-HTB2|1|4;Nucleosome, variant HTA2-HTB1|1|4;Nucleosome, variant HTA1-HTB1|1|4;Nucleosome, variant HTZ1-HTB1|1|4;Nucleosome, variant HTZ1-HTB2|1|4;Nucleosome, variant HTA1-HTB2|1|4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P53437	RRN9	38	RNA polymerase I upstream activating factor complex|1|6;Nucleosome, variant HTA2-HTB2|1|4;Nucleosome, variant HTA2-HTB1|1|4;Nucleosome, variant HTA1-HTB1|1|4;Nucleosome, variant HTZ1-HTB1|1|4;Nucleosome, variant HTZ1-HTB2|1|4;Nucleosome, variant HTA1-HTB2|1|4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P61830	HHT1	38	RNA polymerase I upstream activating factor complex|1|6;Nucleosome, variant HTA2-HTB2|1|4;Nucleosome, variant HTA2-HTB1|1|4;Nucleosome, variant HTA1-HTB1|1|4;Nucleosome, variant HTZ1-HTB1|1|4;Nucleosome, variant HTZ1-HTB2|1|4;Nucleosome, variant HTA1-HTB2|1|4	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
Q02983	RRN5	38	RNA polymerase I upstream activating factor complex|1|6;Nucleosome, variant HTA2-HTB2|1|4;Nucleosome, variant HTA2-HTB1|1|4;Nucleosome, variant HTA1-HTB1|1|4;Nucleosome, variant HTZ1-HTB1|1|4;Nucleosome, variant HTZ1-HTB2|1|4;Nucleosome, variant HTA1-HTB2|1|4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Q08747	UAF30	38	RNA polymerase I upstream activating factor complex|1|6;Nucleosome, variant HTA2-HTB2|1|4;Nucleosome, variant HTA2-HTB1|1|4;Nucleosome, variant HTA1-HTB1|1|4;Nucleosome, variant HTZ1-HTB1|1|4;Nucleosome, variant HTZ1-HTB2|1|4;Nucleosome, variant HTA1-HTB2|1|4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P09938	RNR2	171	Ribonucleoside-diphosphate reductase variant 2|2|4;Ribonucleoside-diphosphate reductase variant 1|2|3	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
P21524	RNR1	171	Ribonucleoside-diphosphate reductase variant 2|2|4;Ribonucleoside-diphosphate reductase variant 1|2|3	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P49723	RNR4	171	Ribonucleoside-diphosphate reductase variant 2|2|4;Ribonucleoside-diphosphate reductase variant 1|2|3	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
P21672	RNR3	171	Ribonucleoside-diphosphate reductase variant 2|2|4;Ribonucleoside-diphosphate reductase variant 1|2|3	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
